start_day_of_week,start_hour_label,total_trips,top_start_station,loop_trip_rate,avg_trip_duration_min,avg_trip_duration_text,avg_trip_distance_miles,avg_speed_mph,top_end_station
Saturday,1 AM,22299,E 1 St & 1 Ave,3.2,14.5,14 minutes 30 seconds,1.44,5.96,Ave A & E 14 St
Saturday,1 PM,103556,Lafayette St & E 8 St,3.1,17.5,17 minutes 30 seconds,1.4,4.8,Lafayette St & E 8 St
Saturday,10 AM,75720,Lafayette St & E 8 St,3.1,16.3,16 minutes 18 seconds,1.39,5.12,Lafayette St & E 8 St
Saturday,10 PM,47997,W 45 St & 8 Ave,3.6,15.6,15 minutes 36 seconds,1.63,6.27,11 Ave & W 41 St
Saturday,11 AM,89414,Lafayette St & E 8 St,3.1,16.9,16 minutes 54 seconds,1.4,4.97,Lafayette St & E 8 St
Saturday,11 PM,40983,W 4 St & 7 Ave S,3.3,15.4,15 minutes 24 seconds,1.47,5.73,W 4 St & 7 Ave S
Saturday,12 AM,31416,W 4 St & 7 Ave S,3.2,15.1,15 minutes 6 seconds,1.46,5.8,Canal St & Rutgers St
Saturday,12 PM,100170,Lafayette St & E 8 St,3.2,17.4,17 minutes 24 seconds,1.4,4.83,Lafayette St & E 8 St
Saturday,2 AM,15947,Wyckoff Ave & Jefferson St,3.2,15.1,15 minutes 6 seconds,1.47,5.84,E 31 St & 3 Ave
Saturday,2 PM,103562,Lafayette St & E 8 St,3.4,17.3,17 minutes 18 seconds,1.49,5.17,Central Park S & 6 Ave
Saturday,3 AM,10667,E 1 St & 1 Ave,3.8,15.0,15 minutes 0 seconds,1.46,5.84,Canal St & Rutgers St
Saturday,3 PM,103318,Central Park S & 6 Ave,3.4,16.9,16 minutes 54 seconds,1.38,4.9,Central Park S & 6 Ave
Saturday,4 AM,6919,Suffolk St & Stanton St,3.5,14.1,14 minutes 6 seconds,1.5,6.38,Clinton St & Grand St
Saturday,4 PM,97547,Central Park S & 6 Ave,3.7,16.9,16 minutes 54 seconds,1.35,4.79,Central Park S & 6 Ave
Saturday,5 AM,5581,W 41 St & 8 Ave,3.2,13.9,13 minutes 54 seconds,1.46,6.3,1 Ave & E 68 St
Saturday,5 PM,89930,Central Park S & 6 Ave,3.6,16.5,16 minutes 30 seconds,1.34,4.87,12 Ave & W 40 St
Saturday,6 AM,11739,W 41 St & 8 Ave,2.2,12.3,12 minutes 18 seconds,3.76,18.34,1 Ave & E 68 St
Saturday,6 PM,89376,12 Ave & W 40 St,3.4,16.3,16 minutes 18 seconds,1.36,5.01,12 Ave & W 40 St
Saturday,7 AM,21240,E 33 St & 1 Ave,2.7,13.0,13 minutes 0 seconds,1.43,6.6,Broadway & W 58 St
Saturday,7 PM,79988,12 Ave & W 40 St,3.7,16.0,16 minutes 0 seconds,1.34,5.03,12 Ave & W 40 St
Saturday,8 AM,35467,Lafayette St & E 8 St,2.7,13.9,13 minutes 54 seconds,1.38,5.96,Lafayette St & E 8 St
Saturday,8 PM,63887,12 Ave & W 40 St,3.7,16.1,16 minutes 6 seconds,1.35,5.03,11 Ave & W 41 St
Saturday,9 AM,57882,Lafayette St & E 8 St,2.8,14.8,14 minutes 48 seconds,1.39,5.64,Lafayette St & E 8 St
Saturday,9 PM,53109,10 Ave & W 14 St,3.7,15.5,15 minutes 30 seconds,1.36,5.26,11 Ave & W 41 St
Sunday,1 AM,20860,Allen St & Stanton St,3.2,15.1,15 minutes 6 seconds,1.48,5.88,Ave A & E 14 St
Sunday,1 PM,83310,12 Ave & W 40 St,3.1,15.8,15 minutes 48 seconds,1.41,5.35,10 Ave & W 14 St
Sunday,10 AM,55326,11 Ave & W 41 St,2.9,14.3,14 minutes 18 seconds,1.3,5.45,Central Park S & 6 Ave
Sunday,10 PM,31674,E 161 St & River Ave,3.6,14.5,14 minutes 30 seconds,1.73,7.16,11 Ave & W 41 St
Sunday,11 AM,67304,Pier 61 at Chelsea Piers,3.0,15.1,15 minutes 6 seconds,1.31,5.21,Central Park S & 6 Ave
